I_arcSum	I_inj_total	V_InjD12
5.7432508	-0.67914581	0
6.4107985	-2.4395447	0
5.7398925	-3.7794876	0
5.7382135	-7.5633087	0
5.9612894	-9.3521118	0
5.7398925	-6.7161942	0
5.5168171	-8.9325638	0
5.0723448	-6.724205	0
5.2970996	-8.0499649	0
6.8535929	-7.1668777	0
7.2980652	-6.7397842	0
6.8535929	-6.9682236	0
6.8535929	-3.6625671	0
7.2980657	-6.7624588	0
7.2980657	-6.1073608	0
7.5211415	-6.3215866	0
7.9672928	-4.3199158	0
7.7458963	-1.4489288	0
8.1886902	-3.89328	0
8.1886902	-1.9129028	0
7.9672928	-5.9034195	0
7.9672928	-5.2412338	0
7.9672928	-6.1323166	0
7.9672928	-6.3607407	0
7.9672928	-3.0550919	0
8.1870098	-5.4923325	0
7.9639344	-3.9537277	0
7.52282	-7.0607071	0
7.9672923	-6.8473892	0
7.9656134	-5.9714203	0
7.9639339	-6.6487198	0
7.5211406	-3.7848358	0
6.6355538	-6.8847122	0
6.6355538	-6.0087509	0
6.8569508	-7.5624695	0
6.8569508	-7.7909012	0
6.6372328	-5.589653	0
6.8603086	-6.4807281	0
7.3014231	-3.388855	0
6.8569508	-7.1584778	0
6.4141574	-6.9593735	0
6.1927605	-5.4207687	0
6.4141574	-1.6662445	0
7.0783477	2.7367172	0
6.4124784	0.28526306	0
5.5252123	2.2585373	0
5.3021364	1.1465836	0
5.300457	1.5736694	0
5.0773811	2.2216644	0
4.6329088	2.2070007	0
4.6329088	6.6241684	0
4.8543057	3.5313797	0
4.8543057	3.0891571	0
4.6312294	-2.2266312	0
4.6312294	-2.8897324	0
5.2954197	-1.1231461	0
5.9612894	-1.565361	0
5.9629683	-1.1382446	0
5.9646473	-5.121666	0
6.1877232	-5.7918625	0
5.5184965	-6.8967209	0
5.2920623	-7.5669174	0
5.5168171	-5.814537	0
6.1860442	-8.4726486	0
6.1860442	-3.3715439	0
6.1843653	-5.5807953	0
6.1843653	-6.0301208	0
6.1843653	-7.5909424	0
6.1843653	-6.9287643	0
6.6288376	-2.2836075	0
6.4057617	-4.2719955	0
7.2980647	-4.2866516	0
7.5244985	-7.3936386	0
7.3014231	-5.8408318	0
6.6321955	-3.6395798	0
6.8552713	-8.0931702	0
6.8569508	-6.3407669	0
7.0800266	-9.21978	0
6.8586302	-8.5646896	0
7.0800266	-10.567268	0
6.6355543	-12.135193	0
6.8586302	-9.2713013	0
6.6355543	-11.045898	0
6.4124784	-8.8446579	0
6.1910815	-11.730766	0
6.8586302	-12.856926	0
7.0817056	-12.429832	0
6.8603086	-9.9934845	0
6.4158363	-4.4648209	0
6.4141569	-7.1229401	0
6.4141569	-6.6958389	0
6.1927605	-8.6913223	0
5.9696846	-8.2571182	0
6.191081	-5.1652451	0
6.410799	-4.9448242	0
6.4074411	-0.96231842	0
5.5201755	-2.7227097	0
5.2987785	-1.3907776	0
5.9612894	-6.5070038	0
6.6254797	-9.6352997	0
6.6288376	-5.6741028	0
5.2970996	-3.0097885	0
4.4047961	2.0700073	0
4.4031177	-0.15344238	0
4.8492689	-0.83785248	0
4.408154	-0.18987274	0
4.6312294	0.016349792	0
4.8509474	2.8731461	0
5.2920618	0.65677643	0
5.0723443	3.9766388	0
4.4081545	3.5415344	0
3.962003	2.6575546	0
5.0723443	0.8687439	0
6.1860442	-3.1217728	0
6.6321955	-1.804039	0
5.9646473	-5.1177139	0
6.1860442	-6.2296753	0
6.1877232	-9.1157761	0
6.6321959	-9.785965	0
6.1894026	-7.3638382	0
6.1894026	-11.354347	0
6.4124784	-9.3668823	0
6.8569508	-12.025002	0
6.6338749	-11.362816	0
6.410799	-10.928612	0
6.1877232	-11.377922	0
6.4091201	-8.2931595	0
6.630517	-10.281532	0
6.630517	-9.8473358	0
6.4091201	-10.731304	0
6.4091201	-11.629486	0
6.1860442	-8.0958481	0
5.9629683	-10.540192	0
5.9629683	-8.3389435	0
6.1860442	-12.108574	0
6.4074411	-11.004623	0
6.1860442	-11.453945	0
5.9646473	-11.682381	0
5.7432508	-9.4882278	0
5.9646473	-11.925484	0
5.7415714	-11.277496	0
5.9629683	-13.49387	0
5.7415714	-14.612919	0
5.7415714	-13.074303	0
5.5184956	-13.302753	0
5.5184956	-10.217979	0
5.2970991	-13.98761	0
5.7415714	-13.332512	0
5.7415714	-13.553844	0
5.520175	-12.891659	0
5.2987781	-10.027763	0
5.7432508	-11.802368	0
5.5218539	-8.710495	0
5.5218539	-11.147743	0
5.5218539	-10.043793	0
5.7432508	-10.051346	0
5.520175	-9.8380203	0
5.520175	-6.7532578	0
5.0757022	-10.07402	0
5.2954206	-9.8677979	0
4.4064755	-11.877487	0
2.6336226	-10.566864	0
2.192508	-6.1567993	0
2.6336222	-6.8340988	0
2.4105468	-2.865799	0
2.1891501	-6.2007751	0
1.9694326	-5.5527878	0
1.3002052	-6.0092087	0
1.0754504	-3.8008652	0
1.0754505	0.16743469	0
0.85741168	-2.0489197	0
1.9694325	-0.28234863	0
3.5192094	-3.1542511	0
3.5158515	-5.3705978	0
2.8516612	-5.5990448	0
3.0747366	-7.1527634	0
3.2961335	-4.2817688	0
3.2944543	-7.3745499	0
3.9636817	-7.1541138	0
4.1884365	-10.481987	0
4.1884365	-10.040672	0
4.1867571	-7.6185532	0
4.1850777	-10.055786	0
3.9636812	-8.9660492	0
3.9636812	-12.073036	0
3.7422845	-11.638832	0
3.7422845	-10.762863	0
3.9636812	-9.6589127	0
3.7389264	-5.6835098	0
3.2944543	-8.5625229	0
3.5175302	-7.2447968	0
3.7406063	-9.6891479	0
3.7406063	-9.4758224	0
3.7406061	-7.4954453	0
3.9620028	-8.3794174	0
3.9620028	-5.5084229	0
4.1833992	-8.8291931	0
4.4064751	-9.7202759	0
4.1850786	-11.943737	0
4.4098334	-12.841919	0
4.8543053	-9.9780273	0
4.409833	-13.298798	0
4.409833	-12.201942	0
4.409833	-14.418312	0
4.409833	-14.42588	0
4.409833	-13.329018	0
4.6312294	-13.999229	0
4.8526263	-10.244698	0
4.6295505	-12.012196	0
4.6312294	-11.577988	0
4.6312294	-12.689957	0
4.6312294	-12.697517	0
4.8526263	-9.6127396	0
4.6295505	-12.049988	0
