I_arcSum,I_inj_total,OTor3,PlasmaRogA,V_InjD12
1.744678,6.9484482,-0.050233722,1529.606,0
1.744678,7.6106262,0.29707184,1529.7675,0
1.744678,8.2657166,0.29707184,1529.929,0
1.744678,11.35759,-0.050233722,1530.0906,0
1.9660747,9.1412201,-0.39753917,1530.2521,0
2.1874714,10.238068,-0.39753917,1530.4136,0
2.4088678,6.033783,-0.39753917,1530.5752,0
2.8533401,5.3706894,-0.050233722,1530.7367,0
3.2978125,3.1543198,-0.050233722,1530.8982,0
3.7422845,2.4912262,0.29707184,1531.0597,0
3.7422845,5.3622284,-0.050233722,1531.2213,0
3.7422848,1.37883,-0.050233722,1531.3828,0
3.9653606,0.7015152,-0.39753917,1531.5443,0
4.1867571,-2.177475,-0.39753917,1531.7058,0
4.409833,-2.8476868,-0.050233722,1531.8674,0
4.409833,-2.1926193,-0.050233722,1532.0289,0
4.6312294,-3.525444,-0.050233722,1532.1904,0
4.6312294,0.0082015991,0.29707184,1532.3519,0
4.6312294,-3.3125763,0.29707184,1532.5135,0
4.409833,-3.320137,-0.050233722,1532.675,0
4.4131908,-5.7644653,0.29707184,1532.8365,0
4.4131908,-6.2137985,-0.39753917,1532.9982,0
4.4115124,-3.5707779,-0.39753917,1533.1597,0
4.409833,-5.7871399,-0.39753917,1533.3212,0
4.6329088,-3.8067856,-0.050233722,1533.4827,0
4.6329088,-6.2440186,0.29707184,1533.6443,0
4.8559847,-6.2515945,0.29707184,1533.8058,0
5.0773816,-5.8173752,0.29707184,1533.9673,0
5.3004575,-7.1573257,-0.050233722,1534.1288,0
5.300457,-4.2934113,-0.39753917,1534.2904,0
5.7449298,-7.1724319,-0.39753917,1534.4519,0
5.7415724,-6.2964478,-0.050233722,1534.6134,0
5.9646482,-7.8501816,-0.050233722,1534.7749,0
5.9663267,-7.8577347,-0.050233722,1534.9365,0
5.7449298,-5.6564789,0.29707184,1535.098,0
5.5218539,-7.4310989,0.29707184,1535.2595,0
5.5218539,-5.0089569,0.29707184,1535.4211,0
5.2987781,-7.6670837,-0.39753917,1534.9709,0
5.0773811,-7.6746368,-0.050233722,1535.1324,0
